ID	CURIS	CORPUS_NAME	TERMS QUERY	NOTES
2315	NCBITaxon:29388	Staphylococcus aureus		staphylococcus aureus	Human pathogen
2316	NCBITaxon:1282	Staphylococcus capitus		staphylococcus capitus	Human pathogen
2317	NCBITaxon:1283	Staphylococcus epidermidis		staphylococcus epidermidis	Human pathogen
2318	NCBITaxon:33028	Staphylococcus haemolyticus		staphylococcus haemolyticus	Human pathogen
2319	NCBITaxon:28035	Staphylococcus lugdunensis		staphylococcus lugdunensis	Opportunistic human pathogen
2320	NCBITaxon:283734	Staphylococcus pseudintermedius		staphylococcus pseudintermedius	Opportunistic human pathogen
2321	NCBITaxon:29385	Staphylococcus saccharolyticus		staphylococcus saccharolyticus	Human pathogen
2322	NCBITaxon:34105	Staphylococcus saprophyticus		staphylococcus saprophyticus	Human pathogen
2323	NCBITaxon:40324	Stenotrophomonas maltophilia		stenotrophomonas maltophilia	Opportunistic human pathogen
2324	NCBITaxon:1311	Streptobacillus moniliformis		streptobacillus moniliformis	Human pathogen
2325	NCBITaxon:1328	Streptococcus agalactiae		streptococcus agalactiae	Human pathogen
2326	NCBITaxon:1335	Streptococcus anginosus		streptococcus anginosus	Human pathogen
2328	NCBITaxon:1302	Streptococcus bovis		streptococcus bovis	Human pathogen
2329	NCBITaxon:1333	Streptococcus criceti		streptococcus criceti	Human pathogen
2330	NCBITaxon:1334	Streptococcus dysgalactiaeequisimilis		streptococcus dysgalactiaeequisimilis	Opportunistic human pathogen
2331	NCBITaxon:1336	Streptococcus equi		streptococcus equi	Opportunistic human pathogen
2336	NCBITaxon:1338	Streptococcus gordonii		streptococcus gordonii	Human pathogen
2337	NCBITaxon:1346	Streptococcus iniae		streptococcus iniae	Opportunistic human pathogen
2340	NCBITaxon:28037	Streptococcus mitis		streptococcus mitis	Human pathogen
2341	NCBITaxon:1309	Streptococcus mutans		streptococcus mutans	Human pathogen
2342	NCBITaxon:1303	Streptococcus oralis		streptococcus oralis	Opportunistic human pathogen
2344	NCBITaxon:1313	Streptococcus pneumoniae		streptococcus pneumoniae	Human pathogen
2345	NCBITaxon:1314	Streptococcus pyogenes		streptococcus pyogenes	Human pathogen
2347	NCBITaxon:1305	Streptococcus sanguinis		streptococcus sanguinis	Human pathogen
2348	NCBITaxon:1310	Streptococcus sobrinus		streptococcus sobrinus	Human pathogen
2349	NCBITaxon:1307	Streptococcus suis		streptococcus suis	Human pathogen
2353	NCBITaxon:28112	Tannerella forsythensis		tannerella forsythensis	Human pathogen
2354	NCBITaxon:n/a	Treponema carateum		treponema carateum	Human pathogen
2355	NCBITaxon:158	Treponema denticola		treponema denticola	Human pathogen
2356	NCBITaxon:159	Treponema hyodysenteriae		treponema hyodysenteriae	Human pathogen
2357	NCBITaxon:160	Treponema pallidum		treponema pallidum	Human pathogen
2358	NCBITaxon:168	Treponema pertenue		treponema pallidum pertenue | treponema pertenue	Human pathogen
2359	NCBITaxon:69710	Treponema vincentii		treponema vincentii	Human pathogen
2360	NCBITaxon:2039	Tropheryma whippelii		tropheryma whippelii	Human pathogen
2361	NCBITaxon:134821	Ureaplasma parvum		ureaplasma parvum	Human pathogen
2362	NCBITaxon:2130	Ureaplasma urealyticum		ureaplasma urealyticum	Human pathogen
2364	NCBITaxon:663	Vibrio alginolyticus		vibrio alginolyticus	Human pathogen
2367	NCBITaxon:666	Vibrio cholerae		vibrio cholerae	Human pathogen
2370	NCBITaxon:670	Vibrio parahaemolyticus		vibrio parahaemolyticus	Human pathogen
2372	NCBITaxon:672	Vibrio vulnificus		vibrio vulnificus	Human pathogen
2384	NCBITaxon:630	Yersinia enterocolitica		yersinia enterocolitica	Human pathogen
2385	NCBITaxon:632	Yersinia pestis		yersinia pestis	Human pathogen
2386	NCBITaxon:633	Yersinia pseudotuberculosis		yersinia pseudotuberculosis	Human pathogen
